id,url,coursename,price,priceunit,course_code,duration,start_date,end_date,slot_time,brandname,region
90,https://www.globalknowledge.com/us-en/course/189456/dcnxa-implementing-cisco-nexus-9000-switches-in-nx-os-mode-advanced/,"DCNXA-Implementing Cisco Nexus 9000 Switches in NX-OS Mode - Advanced
The Implementing Cisco Nexus 9000 Switches in NX-OS Mode – Advanced (DCNXA) course provides advanced training in applying and managing the Cisco Nexus® 9000 Series Switches in NX-OS mode.",3995.0,USD,GK# 821400,4 Days,"Sep 23 - 26, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
90,https://www.globalknowledge.com/us-en/course/189456/dcnxa-implementing-cisco-nexus-9000-switches-in-nx-os-mode-advanced/,"DCNXA-Implementing Cisco Nexus 9000 Switches in NX-OS Mode - Advanced
The Implementing Cisco Nexus 9000 Switches in NX-OS Mode – Advanced (DCNXA) course provides advanced training in applying and managing the Cisco Nexus® 9000 Series Switches in NX-OS mode.",3995.0,USD,GK# 821400,4 Days,"Sep 23 - 26, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
90,https://www.globalknowledge.com/us-en/course/189456/dcnxa-implementing-cisco-nexus-9000-switches-in-nx-os-mode-advanced/,"DCNXA-Implementing Cisco Nexus 9000 Switches in NX-OS Mode - Advanced
The Implementing Cisco Nexus 9000 Switches in NX-OS Mode – Advanced (DCNXA) course provides advanced training in applying and managing the Cisco Nexus® 9000 Series Switches in NX-OS mode.",3995.0,USD,GK# 821400,4 Days,"Nov 04 - 07, 2024",,8:30 AM - 4:30 PM EST,Global Knowledge,USA
90,https://www.globalknowledge.com/us-en/course/189456/dcnxa-implementing-cisco-nexus-9000-switches-in-nx-os-mode-advanced/,"DCNXA-Implementing Cisco Nexus 9000 Switches in NX-OS Mode - Advanced
The Implementing Cisco Nexus 9000 Switches in NX-OS Mode – Advanced (DCNXA) course provides advanced training in applying and managing the Cisco Nexus® 9000 Series Switches in NX-OS mode.",3995.0,USD,GK# 821400,4 Days,"Jan 27 - 30, 2025",,8:30 AM - 4:30 PM EST,Global Knowledge,USA
91,https://www.globalknowledge.com/us-en/course/163604/administering-cisco-umbrella-operations-admumb/,"Administering Cisco Umbrella Operations-(ADMUMB)
Learn about Cisco Umbrella.",3395.0,USD,GK# 6356,3 Days,"Aug 26 - 28, 2024",,10:00 AM - 6:00 PM EST,Global Knowledge,USA
91,https://www.globalknowledge.com/us-en/course/163604/administering-cisco-umbrella-operations-admumb/,"Administering Cisco Umbrella Operations-(ADMUMB)
Learn about Cisco Umbrella.",3395.0,USD,GK# 6356,3 Days,"Aug 26 - 28, 2024",,10:00 AM - 6:00 PM EST,Global Knowledge,USA
91,https://www.globalknowledge.com/us-en/course/163604/administering-cisco-umbrella-operations-admumb/,"Administering Cisco Umbrella Operations-(ADMUMB)
Learn about Cisco Umbrella.",3395.0,USD,GK# 6356,3 Days,"Oct 15 - 17, 2024",,ONLINE,Global Knowledge,USA
92,https://www.globalknowledge.com/us-en/course/198947/cswadv-cisco-secure-workload-firewall-enforcement-agents-data-flow-mapping-and-advanced-policy-deployment/,"CSWADV - Cisco Secure Workload Firewall Enforcement Agents, Data Flow Mapping, and Advanced Policy Deployment
Cisco Secure Workload Firewall Enforcement Agents, Data Flow Mapping, and Advanced Policy Deployment, CSWADV, is a 5-day course exploring telemetry data, the flows corpus, and how Cisco Secure Workload Firewall Agent provides enforcement. This course will provide the details and hands-on activities necessary to successfully deploy, manage, and troubleshoot policies in Cisco Secure Workload.",4495.0,USD,GK# 860013,5 Days,"Aug 19 - 23, 2024",,10:00 AM - 6:00 PM EST,Global Knowledge,USA
92,https://www.globalknowledge.com/us-en/course/198947/cswadv-cisco-secure-workload-firewall-enforcement-agents-data-flow-mapping-and-advanced-policy-deployment/,"CSWADV - Cisco Secure Workload Firewall Enforcement Agents, Data Flow Mapping, and Advanced Policy Deployment
Cisco Secure Workload Firewall Enforcement Agents, Data Flow Mapping, and Advanced Policy Deployment, CSWADV, is a 5-day course exploring telemetry data, the flows corpus, and how Cisco Secure Workload Firewall Agent provides enforcement. This course will provide the details and hands-on activities necessary to successfully deploy, manage, and troubleshoot policies in Cisco Secure Workload.",4495.0,USD,GK# 860013,5 Days,"Aug 19 - 23, 2024",,10:00 AM - 6:00 PM EST,Global Knowledge,USA
93,https://www.globalknowledge.com/us-en/course/189734/swat-cisco-stealthwatch-tuning/,"SWAT-Cisco Stealthwatch Tuning
This course provides resources to make the configuration and use of the Cisco Stealthwatch System manageable",,USD,GK# 821418,,,,,Global Knowledge,USA
